NAME,Total_Population,Median_Household_Income,Mean_Household_Income,Under_5,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_34,Age_35_to_44,Age_45_to_54,Age_55_to_64,Age_65_to_74,Age_75_plus,Income_Less_10k,Income_10k_15k,Income_15k_20k,Income_20k_25k,Income_25k_35k,Income_35k_50k,Income_50k_75k,Income_75k_100k,Income_100k_150k,Income_150k_200k,Income_200k_plus,White_Alone,Black_Alone,American_Indian_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,No_Schooling,High_School_Grad,Associates_Degree,Bachelors_Degree,Graduate_or_Professional_Degree,Total_Male,Total_Female,state,county,tract,block group
"Block Group 2, Census Tract 141.05, Jefferson County, Alabama",445.0,-666666666.0,8177700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,19.0,6.0,0.0,27.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,124.0,92.0,6.0,121.0,324.0,1,73,14105,2
"Block Group 3, Census Tract 141.05, Jefferson County, Alabama",494.0,85438.0,10218300.0,0.0,0.0,0.0,0.0,25.0,0.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,27.0,4.0,167.0,322.0,0.0,5.0,0.0,0.0,0.0,4.0,201.0,15.0,0.0,6.0,262.0,232.0,1,73,14105,3
"Block Group 4, Census Tract 141.05, Jefferson County, Alabama",2132.0,50655.0,62525300.0,74.0,52.0,63.0,52.0,0.0,0.0,49.0,132.0,37.0,89.0,94.0,56.0,0.0,0.0,143.0,28.0,114.0,47.0,0.0,38.0,73.0,100.0,235.0,1870.0,0.0,0.0,0.0,0.0,27.0,91.0,407.0,209.0,214.0,72.0,1039.0,1093.0,1,73,14105,4
"Block Group 1, Census Tract 141.06, Jefferson County, Alabama",2016.0,47959.0,47655000.0,78.0,30.0,108.0,24.0,1.0,0.0,0.0,21.0,29.0,10.0,43.0,26.0,0.0,12.0,16.0,63.0,85.0,1.0,161.0,98.0,39.0,33.0,1887.0,122.0,5.0,0.0,0.0,0.0,2.0,52.0,588.0,20.0,54.0,38.0,929.0,1087.0,1,73,14106,1
"Block Group 2, Census Tract 141.06, Jefferson County, Alabama",1224.0,97121.0,42211400.0,25.0,32.0,69.0,44.0,0.0,0.0,0.0,28.0,33.0,23.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,42.0,1015.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,24.0,169.0,81.0,607.0,617.0,1,73,14106,2
"Block Group 1, Census Tract 141.07, Jefferson County, Alabama",1068.0,59661.0,20196100.0,21.0,116.0,58.0,0.0,82.0,0.0,0.0,65.0,53.0,12.0,38.0,20.0,8.0,0.0,21.0,7.0,0.0,26.0,0.0,7.0,59.0,30.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,57.0,29.0,19.0,635.0,433.0,1,73,14107,1
"Block Group 2, Census Tract 141.07, Jefferson County, Alabama",910.0,85588.0,35097600.0,0.0,0.0,7.0,41.0,32.0,0.0,0.0,50.0,0.0,0.0,39.0,29.0,22.0,0.0,0.0,0.0,9.0,40.0,9.0,27.0,6.0,35.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,19.0,16.0,19.0,457.0,453.0,1,73,14107,2
"Block Group 1, Census Tract 142.05, Jefferson County, Alabama",1192.0,-666666666.0,58371100.0,66.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,76.0,133.0,57.0,0.0,0.0,0.0,0.0,0.0,248.0,54.0,0.0,0.0,0.0,0.0,720.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,128.0,192.0,95.0,605.0,587.0,1,73,14205,1
"Block Group 2, Census Tract 142.05, Jefferson County, Alabama",2184.0,79323.0,116771200.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,151.0,50.0,0.0,198.0,0.0,0.0,49.0,25.0,0.0,0.0,0.0,0.0,0.0,280.0,866.0,1167.0,0.0,151.0,0.0,0.0,0.0,0.0,245.0,195.0,535.0,214.0,1090.0,1094.0,1,73,14205,2
"Block Group 1, Census Tract 142.06, Jefferson County, Alabama",670.0,86250.0,31827000.0,12.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,45.0,15.0,0.0,0.0,0.0,0.0,21.0,16.0,0.0,16.0,27.0,60.0,659.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,393.0,52.0,28.0,11.0,344.0,326.0,1,73,14206,1
"Block Group 2, Census Tract 142.06, Jefferson County, Alabama",2751.0,-666666666.0,60025200.0,38.0,203.0,0.0,32.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,31.0,72.0,161.0,75.0,2676.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,130.0,241.0,155.0,677.0,2074.0,1,73,14206,2
